Timestamp,"Research Participation Consent
I have read the information provided above and voluntarily agree to participate in this research study. I understand that my responses will be anonymous and used only for academic and research purposes.",How old are you? ,What is your gender? ,  Which university are you currently studying in?  ,   What program are you currently enrolled in?  ,  Which year are you currently studying in?  ,  Current GPA/CGPA  ,"On average, how many hours do you study per day (outside class)?",What is your approximate class attendance?,"How often do you feel overwhelmed by assignments, projects, and deadlines? ","How many major exams, tests, or assessments have you completed during the current semester or year? ",How many hours of sleep do you get per night? ,"On average, how much time do you spend on social media each day?",How often do you engage in physical activity or exercise?,  Part-time Job  ,"On average, what is your total daily screen time (including study and entertainment)?",How often do financial concerns related to your education cause you stress?,"When you feel stressed, how often do you have someone you trust to talk to? ","During the last month, how often have you felt nervous or stressed because of your studies?","During the last month, how often have you felt that your academic responsibilities were becoming difficult to manage?  ","During the last month, how often have you worried about your academic performance or grades?  ","During the last month, how often have you felt confident in your ability to handle academic challenges?  ","During the last month, how often have you felt that things were going well in your academic life?  ","During the last month, how often have you felt overwhelmed by the amount of work you needed to complete?","During the last month, how often have you been able to stay calm when facing academic pressure?  ","During the last month, how often have you felt in control of your studies and responsibilities?  ","During the last month, how often have you felt frustrated because of situations beyond your control?  ","During the last month, how often have you felt that your academic problems were piling up faster than you could handle them?  ","Overall, how satisfied are you with your academic life at the moment?","In your opinion, what is the biggest source of academic stress in your life, and why? ",Have you ever thought about taking a break from your studies because of academic pressure?  ,How often do concerns about your future career or employment cause you stress?,How satisfied are you with your current academic performance?,Data_Source
7/25/2026 7:51:33,"Yes, I agree to participate.",23-25,Prefer not to say,Pokhara University,BHM,4th Year,3.0–3.49,5–6,60–70%,3,1-2,7–8,3–4 hours,5–6 days/week,Yes,More than 8 hours,3,4,3,3,4,2,2,4,2,3,3,3,2,Procrastination,Sometimes,5,2,Synthetic
7/25/2026 11:09:33,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BDS,3rd Year,2.5–2.99,1–2,60–70%,2,More than 6,5–6,1–2 hours,1–2 days/week,No,6–8 hours,2,5,2,3,3,4,3,2,2,2,3,2,3,Time management,Rarely,5,4,Synthetic
7/25/2026 11:16:15,"Yes, I agree to participate.",17-19,Male,Purbanchal University,Law(LLB),1st Year,Not Available Yet,5–6,71–80%,5,More than 6,5–6,1–2 hours,3–4 days/week,Yes,More than 8 hours,2,3,3,4,4,1,3,3,2,3,3,3,2,"Procrastination, family expectations to get good grades",Sometimes,3,2,Synthetic
7/25/2026 13:45:26,"Yes, I agree to participate.",20-22,Female,Kathmandu University,MBBS,3rd Year,3.5–4.0,5–6,71–80%,5,1-2,5–6,3–4 hours,Never,No,More than 8 hours,2,3,5,5,5,1,1,4,1,1,5,5,4,Time management,Very Often,3,3,Synthetic
7/25/2026 14:34:23,"Yes, I agree to participate.",23-25,Female,Agriculture and Forestry University,Agriculture,3rd Year,2.5–2.99,3–4,60–70%,5,3-4,Less than 5,5–6 hours,5–6 days/week,No,6–8 hours,3,3,4,5,5,3,1,3,3,2,3,4,3,Maybe,Very Often,3,1,Synthetic
7/25/2026 16:12:29,"Yes, I agree to participate.",Above 25,Female,Tribhuvan University,BBS,4th Year,3.0–3.49,Less than 1,Above 90%,4,3-4,Less than 5,3–4 hours,1–2 days/week,Yes,6–8 hours,3,1,4,5,3,3,2,4,2,2,4,4,3,Exams ,Very Often,4,3,Synthetic
7/25/2026 17:14:29,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,MBBS,2nd Year,3.0–3.49,3–4,71–80%,5,More than 6,5–6,5–6 hours,3–4 days/week,No,More than 8 hours,4,3,3,5,3,4,3,4,1,1,4,4,2,Multiple assignments ,Rarely,2,3,Synthetic
7/25/2026 17:44:26,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,1–2,60–70%,1,3-4,Less than 5,1–2 hours,3–4 days/week,No,6–8 hours,3,5,1,2,2,4,5,2,5,5,2,1,5,Balancing money and education,Never,4,4,Synthetic
7/25/2026 21:16:48,"Yes, I agree to participate.",17-19,Female,Tribhuvan University,BSc CSIT,1st Year,3.5–4.0,3–4,81–90%,3,More than 6,5–6,3–4 hours,5–6 days/week,No,6–8 hours,1,3,2,3,3,4,3,2,4,4,2,2,3,Exams ,Rarely,5,5,Synthetic
7/25/2026 23:02:39,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BCA,3rd Year,3.0–3.49,3–4,Below 60%,5,More than 6,Less than 5,3–4 hours,3–4 days/week,Yes,More than 8 hours,2,2,3,3,4,4,3,3,3,3,3,3,3,Deadlines,Sometimes,4,4,Synthetic
7/25/2026 23:42:37,"Yes, I agree to participate.",17-19,Female,Tribhuvan University,BDS,1st Year,Not Available Yet,1–2,71–80%,3,5-6,7–8,Less than 1 hour,Never,No,Less than 3 hours,2,3,3,2,3,2,4,3,2,4,2,4,2,Not able to focus because of phone,Sometimes,3,3,Synthetic
7/26/2026 0:42:47,"Yes, I agree to participate.",23-25,Prefer not to say,Other,MBBS,5th Year,3.0–3.49,3–4,60–70%,3,3-4,Less than 5,5–6 hours,5–6 days/week,Yes,More than 8 hours,4,3,4,5,4,2,4,4,1,2,4,3,1,Future career concerns because I am unsure about job opportunities,Often,5,3,Synthetic
7/26/2026 1:44:14,"Yes, I agree to participate.",20-22,Prefer not to say,Rajarshi Janak University,BBS,3rd Year,3.0–3.49,Less than 1,71–80%,2,3-4,More than 8,Less than 1 hour,3–4 days/week,No,3–5 hours,2,4,2,1,2,5,5,3,4,5,1,1,4,Balancing money and education,Sometimes,4,5,Synthetic
7/26/2026 3:14:23,"Yes, I agree to participate.",20-22,Prefer not to say,Agriculture and Forestry University,Agriculture,4th Year,3.0–3.49,Less than 1,71–80%,3,3-4,Less than 5,3–4 hours,1–2 days/week,Yes,More than 8 hours,5,1,5,5,4,2,1,5,1,1,3,4,2,Semester project with weak team members,Often,5,3,Synthetic
7/26/2026 4:51:12,"Yes, I agree to participate.",20-22,Male,Kathmandu University,BDS,3rd Year,3.0–3.49,3–4,60–70%,3,3-4,5–6,3–4 hours,Never,No,More than 8 hours,4,3,3,3,3,2,3,3,4,3,3,4,2,Frustration ,Sometimes,2,4,Synthetic
7/26/2026 12:43:22,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BCA,1st Year,3.5–4.0,More than 6 hours,81–90%,1,More than 6,7–8,Less than 1 hour,3–4 days/week,Yes,3–5 hours,4,4,1,1,2,5,4,1,4,4,1,2,5,Maybe,Rarely,4,5,Synthetic
7/26/2026 15:08:04,"Yes, I agree to participate.",23-25,Male,Rajarshi Janak University,Agriculture,4th Year,2.5–2.99,1–2,71–80%,2,1-2,7–8,1–2 hours,1–2 days/week,No,3–5 hours,3,3,1,2,2,3,4,3,5,3,2,1,4,Final year project and internship,Never,5,3,Synthetic
7/26/2026 15:18:36,"Yes, I agree to participate.",Above 25,Prefer not to say,Pokhara University,BSc Nursing,3rd Year,3.5–4.0,3–4,71–80%,2,3-4,5–6,3–4 hours,1–2 days/week,No,6–8 hours,2,4,1,1,1,5,4,1,4,5,1,1,3,Board exams,Never,2,5,Synthetic
7/26/2026 16:00:30,"Yes, I agree to participate.",23-25,Prefer not to say,Agriculture and Forestry University,Agriculture,4th Year,3.5–4.0,1–2,81–90%,2,3-4,Less than 5,3–4 hours,Never,Yes,3–5 hours,3,4,3,2,4,4,4,1,3,4,4,2,3,Lack of practical classes and resources,Sometimes,4,4,Synthetic
7/26/2026 16:36:50,"Yes, I agree to participate.",17-19,Male,Tribhuvan University,Agriculture,1st Year,Not Available Yet,5–6,71–80%,3,3-4,5–6,More than 6 hours,1–2 days/week,No,More than 8 hours,3,2,4,2,3,2,1,4,3,1,3,4,3,Ok,Often,4,3,Synthetic
7/26/2026 16:40:52,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BHM,2nd Year,3.5–4.0,1–2,Below 60%,2,1-2,5–6,1–2 hours,1–2 days/week,Yes,6–8 hours,5,3,3,4,3,2,4,3,5,3,3,3,3,Assignment ,Sometimes,3,4,Synthetic
7/26/2026 21:39:22,"Yes, I agree to participate.",20-22,Female,Purbanchal University,BE/B.Tech,4th Year,3.5–4.0,1–2,71–80%,2,3-4,5–6,3–4 hours,1–2 days/week,Yes,More than 8 hours,4,4,2,2,3,3,3,2,3,2,3,2,3,Thesis and internship report,Rarely,3,4,Synthetic
7/26/2026 21:50:49,"Yes, I agree to participate.",23-25,Female,Kathmandu University,MBBS,4th Year,3.5–4.0,3–4,Above 90%,1,More than 6,7–8,3–4 hours,3–4 days/week,No,More than 8 hours,1,3,2,2,2,5,5,2,5,5,1,2,4,Lack of discipline and too much screen time,Rarely,2,5,Synthetic
7/26/2026 22:48:57,"Yes, I agree to participate.",Above 25,Male,Kathmandu University,MBBS,1st Year,3.0–3.49,Less than 1,71–80%,2,1-2,More than 8,3–4 hours,Never,No,6–8 hours,3,4,3,3,2,4,3,2,2,2,3,2,4,Multiple assignments ,Sometimes,2,3,Synthetic
7/27/2026 0:11:19,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,Agriculture,4th Year,2.0–2.49,3–4,71–80%,1,1-2,7–8,3–4 hours,5–6 days/week,Yes,6–8 hours,4,3,3,3,3,3,4,1,5,3,1,3,3,Family pressure,Rarely,4,4,Synthetic
7/27/2026 1:02:48,"Yes, I agree to participate.",23-25,Female,Kathmandu University,BSc Nursing,4th Year,2.5–2.99,1–2,60–70%,1,3-4,5–6,5–6 hours,Never,No,6–8 hours,2,5,2,4,2,3,3,1,4,3,2,2,4,"Multiple assignments, career, jobs are very limited in nepal",Rarely,4,5,Synthetic
7/27/2026 1:26:07,"Yes, I agree to participate.",20-22,Prefer not to say,Pokhara University,BE/B.Tech,3rd Year,2.5–2.99,Less than 1,81–90%,4,5-6,5–6,5–6 hours,1–2 days/week,Yes,6–8 hours,3,5,4,5,4,3,3,4,1,3,3,4,2,Parents compare me with relatives and toppers,Often,4,3,Synthetic
7/27/2026 3:28:13,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,MBBS,1st Year,3.0–3.49,3–4,71–80%,2,More than 6,More than 8,1–2 hours,Never,No,More than 8 hours,2,5,3,2,4,2,4,3,3,4,3,2,5,Project submission deadlines clashing with exams,Often,3,4,Synthetic
7/27/2026 3:57:59,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BCA,2nd Year,3.0–3.49,1–2,Above 90%,3,3-4,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,5,4,2,2,2,5,4,2,4,3,3,3,3,"TU exam pattern, everything depends on final exam",Rarely,4,5,Synthetic
7/27/2026 4:52:13,"Yes, I agree to participate.",23-25,Male,Pokhara University,BCA,4th Year,3.0–3.49,5–6,81–90%,2,More than 6,5–6,5–6 hours,3–4 days/week,Yes,6–8 hours,3,3,2,2,2,4,4,1,4,4,2,2,4,Not able to focus because of phone,Rarely,2,4,Synthetic
7/27/2026 8:44:23,"Yes, I agree to participate.",Above 25,Female,Agriculture and Forestry University,Agriculture,4th Year,3.5–4.0,3–4,81–90%,1,1-2,7–8,3–4 hours,1–2 days/week,Yes,3–5 hours,3,4,2,2,1,5,2,1,4,4,2,3,3,"Future career concerns because I am unsure about job opportunities, assignment",Sometimes,3,4,Synthetic
7/27/2026 11:49:34,"Yes, I agree to participate.",17-19,Female,Other,BDS,2nd Year,3.0–3.49,3–4,81–90%,4,3-4,5–6,5–6 hours,Never,No,More than 8 hours,4,3,4,4,4,2,2,5,2,3,5,5,1,Pressure to go abroad after graduation,Often,5,4,Synthetic
7/27/2026 12:00:15,"Yes, I agree to participate.",17-19,Female,Tribhuvan University,BSc CSIT,3rd Year,3.5–4.0,3–4,81–90%,2,3-4,5–6,1–2 hours,1–2 days/week,Yes,3–5 hours,3,3,2,3,1,3,4,1,5,5,2,1,4,Not able to focus because of phone,Rarely,2,5,Synthetic
7/27/2026 13:26:35,"Yes, I agree to participate.",23-25,Male,Purbanchal University,BCA,2nd Year,2.5–2.99,1–2,71–80%,2,More than 6,Less than 5,3–4 hours,1–2 days/week,Yes,6–8 hours,5,1,2,4,2,3,3,2,4,3,2,4,1,Internal assessments and assignments piling up together,Sometimes,5,3,Synthetic
7/27/2026 14:43:41,"Yes, I agree to participate.",20-22,Female,Pokhara University,BHM,2nd Year,3.5–4.0,1–2,Above 90%,2,More than 6,5–6,1–2 hours,Never,Yes,More than 8 hours,2,1,5,4,2,1,3,4,2,5,3,3,3,Deadlines,Rarely,4,4,Synthetic
7/27/2026 16:08:55,"Yes, I agree to participate.",23-25,Female,Kathmandu University,BSc Nursing,4th Year,2.5–2.99,1–2,60–70%,4,5-6,5–6,3–4 hours,1–2 days/week,No,More than 8 hours,5,3,4,5,4,1,2,5,2,2,5,3,2,Internal assessments and assignments piling up together,Sometimes,5,3,Synthetic
7/27/2026 20:26:47,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BSc CSIT,3rd Year,3.5–4.0,3–4,81–90%,3,3-4,5–6,3–4 hours,1–2 days/week,No,6–8 hours,3,2,2,3,2,4,3,3,3,3,2,2,3,Unsure about future after graduation,Rarely,3,4,Synthetic
7/27/2026 21:49:49,"Yes, I agree to participate.",23-25,Female,Madhyapaschim University,BCA,4th Year,3.0–3.49,5–6,71–80%,4,3-4,Less than 5,5–6 hours,1–2 days/week,No,More than 8 hours,2,2,4,4,4,2,2,4,2,2,3,2,2,"Parents compare me with relatives and toppers, unsure about future after graduation",Sometimes,5,4,Synthetic
7/28/2026 1:18:46,"Yes, I agree to participate.",Above 25,Female,Tribhuvan University,BHM,3rd Year,3.0–3.49,3–4,71–80%,3,1-2,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,3,5,3,3,3,5,3,3,3,3,3,3,3,Future ,Rarely,1,5,Synthetic
7/28/2026 3:37:12,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BSc Nursing,3rd Year,3.5–4.0,5–6,81–90%,2,5-6,7–8,3–4 hours,3–4 days/week,No,More than 8 hours,1,5,1,1,2,4,3,2,3,5,2,3,4,Study management,Rarely,3,4,Synthetic
7/28/2026 4:08:56,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BCA,3rd Year,2.5–2.99,3–4,Below 60%,4,More than 6,5–6,5–6 hours,1–2 days/week,Yes,6–8 hours,4,2,4,3,3,2,2,3,4,3,3,5,3,Financial pressure ,Often,3,3,Synthetic
7/28/2026 5:49:14,"Yes, I agree to participate.",17-19,Female,Kathmandu University,Law(LLB),1st Year,Not Available Yet,Less than 1,60–70%,3,1-2,7–8,3–4 hours,3–4 days/week,Yes,More than 8 hours,4,5,1,1,2,3,5,1,5,4,2,1,4,Time management,Rarely,2,4,Synthetic
7/28/2026 6:30:03,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,3–4,60–70%,3,3-4,5–6,1–2 hours,1–2 days/week,Yes,Less than 3 hours,4,5,3,3,4,1,2,4,2,2,5,3,4,Unsure ,Often,5,2,Synthetic
7/28/2026 8:49:35,"Yes, I agree to participate.",17-19,Female,Kathmandu University,Law(LLB),1st Year,Not Available Yet,1–2,71–80%,4,5-6,7–8,5–6 hours,Never,No,More than 8 hours,4,1,5,5,4,3,2,5,1,1,5,5,1,Assignment ,Very Often,4,3,Synthetic
7/28/2026 9:05:02,"Yes, I agree to participate.",Above 25,Female,Kathmandu University,MBBS,5th Year,3.5–4.0,3–4,71–80%,3,More than 6,7–8,Less than 1 hour,5–6 days/week,No,6–8 hours,2,4,3,1,3,5,4,2,5,5,2,2,4,Ok,Never,5,4,Synthetic
7/28/2026 11:00:20,"Yes, I agree to participate.",23-25,Male,Other,BDS,4th Year,3.0–3.49,3–4,81–90%,3,3-4,7–8,Less than 1 hour,Never,Yes,More than 8 hours,2,4,3,2,3,4,3,3,3,2,3,3,4,Yes,Sometimes,3,4,Synthetic
7/28/2026 11:48:24,"Yes, I agree to participate.",20-22,Male,Sudurpaschim University,BCA,2nd Year,3.5–4.0,5–6,81–90%,2,5-6,7–8,3–4 hours,3–4 days/week,No,More than 8 hours,2,3,2,3,3,4,4,1,4,4,3,2,3,Tuition fees and hostel expenses,Rarely,2,5,Synthetic
7/28/2026 12:42:07,"Yes, I agree to participate.",Above 25,Male,Tribhuvan University,BCA,2nd Year,2.5–2.99,Less than 1,81–90%,3,5-6,5–6,3–4 hours,1–2 days/week,No,6–8 hours,3,3,2,2,2,3,4,1,4,4,2,1,4,"Result delays and session delays in university, career",Sometimes,1,4,Synthetic
7/28/2026 13:33:52,"Yes, I agree to participate.",17-19,Prefer not to say,Sudurpaschim University,BCA,1st Year,Not Available Yet,Less than 1,71–80%,1,3-4,7–8,Less than 1 hour,3–4 days/week,Yes,Less than 3 hours,3,3,2,2,2,4,5,2,3,5,1,1,5,Working part time and studying at the same time,Never,3,4,Synthetic
7/28/2026 15:34:58,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,Law(LLB),4th Year,2.5–2.99,1–2,71–80%,3,More than 6,7–8,3–4 hours,5–6 days/week,Yes,3–5 hours,2,4,3,2,2,3,3,3,4,2,2,1,3,Money,Sometimes,2,5,Synthetic
7/28/2026 16:08:42,"Yes, I agree to participate.",17-19,Male,Tribhuvan University,BIM,1st Year,Not Available Yet,5–6,81–90%,3,1-2,5–6,1–2 hours,Never,No,3–5 hours,4,2,4,5,4,1,1,4,2,2,4,5,2,Internal assessments and assignments piling up together,Often,4,3,Synthetic
7/28/2026 16:09:41,"Yes, I agree to participate.",Above 25,Female,Kathmandu University,MBBS,5th Year,3.5–4.0,5–6,60–70%,3,More than 6,More than 8,Less than 1 hour,5–6 days/week,No,6–8 hours,3,2,3,3,3,4,4,3,4,2,4,2,2,Study management,Rarely,4,4,Synthetic
7/28/2026 17:11:24,"Yes, I agree to participate.",20-22,Male,Purbanchal University,BCA,3rd Year,3.0–3.49,1–2,Above 90%,5,1-2,5–6,5–6 hours,Never,Yes,More than 8 hours,4,2,3,4,5,3,1,5,3,2,5,5,3,Study management,Often,4,2,Synthetic
7/28/2026 17:13:48,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,Law(LLB),5th Year,3.0–3.49,Less than 1,81–90%,5,3-4,Less than 5,1–2 hours,Never,Yes,6–8 hours,5,1,4,4,4,1,2,5,3,2,5,5,3,Time management,Sometimes,4,3,Synthetic
7/28/2026 19:04:51,"Yes, I agree to participate.",20-22,Female,Pokhara University,BSc Nursing,2nd Year,3.0–3.49,Less than 1,Above 90%,3,3-4,5–6,1–2 hours,1–2 days/week,No,Less than 3 hours,1,3,2,3,3,4,3,3,3,2,3,3,4,Exams ,Rarely,2,4,Synthetic
7/28/2026 21:12:08,"Yes, I agree to participate.",17-19,Female,Pokhara University,BCA,1st Year,Not Available Yet,1–2,71–80%,2,More than 6,Less than 5,3–4 hours,5–6 days/week,No,6–8 hours,2,3,2,1,2,4,3,2,4,3,3,2,3,Nothing much,Sometimes,2,4,Synthetic
7/29/2026 1:52:21,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,MBBS,2nd Year,3.5–4.0,3–4,71–80%,1,More than 6,More than 8,3–4 hours,1–2 days/week,No,More than 8 hours,2,4,1,2,1,5,5,1,5,4,1,2,5,Unsure ,Never,3,5,Synthetic
7/29/2026 1:56:29,"Yes, I agree to participate.",23-25,Female,Other,MBBS,5th Year,3.5–4.0,3–4,71–80%,2,1-2,7–8,3–4 hours,3–4 days/week,Yes,6–8 hours,2,2,1,2,2,4,4,1,4,3,1,1,4,Too many assignments and lab reports with the same deadline,Rarely,2,5,Synthetic
7/29/2026 2:52:01,"Yes, I agree to participate.",17-19,Male,Tribhuvan University,BCA,2nd Year,2.5–2.99,Less than 1,71–80%,5,More than 6,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,4,3,4,5,5,2,2,5,3,2,4,4,1,Ok,Very Often,3,3,Synthetic
7/29/2026 5:10:10,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,Less than 1,60–70%,3,More than 6,Less than 5,Less than 1 hour,Never,No,3–5 hours,3,2,2,3,3,2,3,3,3,2,3,3,4,"Career, jobs are very limited in Nepal",Very Often,3,4,Synthetic
7/29/2026 5:17:03,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,Law(LLB),2nd Year,3.0–3.49,5–6,81–90%,4,5-6,Less than 5,5–6 hours,Never,Yes,6–8 hours,4,3,3,4,4,2,4,5,2,4,5,2,3,Family expectations to get good grades,Sometimes,3,4,Synthetic
7/29/2026 5:56:55,"Yes, I agree to participate.",20-22,Female,Kathmandu University,Law(LLB),3rd Year,2.0–2.49,1–2,60–70%,4,5-6,5–6,5–6 hours,Never,Yes,6–8 hours,3,3,3,5,4,3,3,4,2,3,5,4,3,Balancing money and education,Often,3,3,Synthetic
7/29/2026 6:08:33,"Yes, I agree to participate.",20-22,Female,Kathmandu University,BSc Nursing,3rd Year,3.0–3.49,3–4,71–80%,2,5-6,Less than 5,1–2 hours,3–4 days/week,No,6–8 hours,2,4,2,2,2,4,4,3,3,4,3,2,5,Frequent internal exams and practicals,Rarely,2,5,Synthetic
7/29/2026 6:43:00,"Yes, I agree to participate.",20-22,Female,Tribhuvan University,BBS,3rd Year,2.5–2.99,3–4,Below 60%,4,3-4,Less than 5,3–4 hours,5–6 days/week,Yes,More than 8 hours,4,2,3,3,3,2,3,3,3,3,4,3,3,"Exams, because the whole year's result depends on the final board exam",Never,3,2,Synthetic
7/29/2026 8:31:54,"Yes, I agree to participate.",23-25,Female,Pokhara University,BHM,4th Year,3.0–3.49,5–6,81–90%,4,1-2,5–6,3–4 hours,3–4 days/week,Yes,More than 8 hours,5,3,3,3,3,3,2,3,4,3,3,3,2,"Balancing part-time job and classes, I don't get enough time to study",Sometimes,4,2,Synthetic
7/29/2026 11:15:50,"Yes, I agree to participate.",17-19,Male,Tribhuvan University,BCA,1st Year,Not Available Yet,3–4,Above 90%,3,5-6,5–6,5–6 hours,1–2 days/week,Yes,More than 8 hours,4,3,5,5,4,2,1,5,2,2,5,4,1,Time management,Sometimes,3,1,Synthetic
7/29/2026 14:42:10,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BBS,3rd Year,3.0–3.49,5–6,71–80%,3,3-4,7–8,5–6 hours,3–4 days/week,Yes,More than 8 hours,3,2,3,3,5,2,2,5,2,2,2,3,2,Internal assessments and assignments piling up together,Often,3,2,Synthetic
7/29/2026 15:53:43,"Yes, I agree to participate.",20-22,Female,Kathmandu University,BE/B.Tech,2nd Year,3.5–4.0,1–2,60–70%,2,More than 6,Less than 5,3–4 hours,3–4 days/week,Yes,3–5 hours,4,3,2,2,2,3,3,2,2,4,2,3,4,Office hours clash with college time,Often,3,4,Synthetic
7/29/2026 18:00:27,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,BBS,4th Year,3.5–4.0,3–4,71–80%,3,3-4,7–8,5–6 hours,Never,Yes,More than 8 hours,2,4,4,3,2,3,3,2,3,4,2,5,3,Too many assignments and lab reports with the same deadline,Often,3,3,Synthetic
7/29/2026 18:39:18,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,MBBS,3rd Year,3.5–4.0,5–6,71–80%,3,More than 6,More than 8,1–2 hours,1–2 days/week,No,3–5 hours,2,4,2,2,2,5,5,2,3,4,2,2,3,Career,Rarely,3,5,Synthetic
7/29/2026 19:17:36,"Yes, I agree to participate.",Above 25,Female,Kathmandu University,MBBS,4th Year,2.5–2.99,3–4,60–70%,4,5-6,More than 8,3–4 hours,1–2 days/week,No,3–5 hours,1,3,4,4,4,2,3,3,2,3,4,5,3,Exam routine keeps changing and results come very late,Rarely,4,2,Synthetic
7/29/2026 20:14:29,"Yes, I agree to participate.",20-22,Male,Agriculture and Forestry University,Agriculture,4th Year,2.5–2.99,Less than 1,60–70%,2,5-6,5–6,3–4 hours,3–4 days/week,Yes,More than 8 hours,3,5,2,1,1,5,4,3,4,5,3,1,5,Lack of practical classes and resources,Rarely,1,4,Synthetic
7/29/2026 22:52:27,"Yes, I agree to participate.",17-19,Female,Pokhara University,BCA,1st Year,3.0–3.49,1–2,71–80%,3,5-6,Less than 5,1–2 hours,3–4 days/week,No,3–5 hours,2,4,3,3,3,1,3,4,3,3,3,4,3,Lack of discipline and too much screen time,Often,4,4,Synthetic
7/30/2026 0:41:37,"Yes, I agree to participate.",20-22,Female,Kathmandu University,BSc Nursing,2nd Year,2.5–2.99,Less than 1,60–70%,3,3-4,5–6,5–6 hours,3–4 days/week,No,More than 8 hours,2,3,2,2,2,3,4,2,3,5,3,1,4,Internal assessments and assignments piling up together,Sometimes,3,3,Synthetic
7/30/2026 1:20:35,"Yes, I agree to participate.",23-25,Female,Kathmandu University,BDS,4th Year,2.5–2.99,3–4,Below 60%,4,More than 6,7–8,3–4 hours,1–2 days/week,Yes,6–8 hours,4,3,4,3,3,2,2,4,3,3,3,3,2,Final year project and internship,Sometimes,4,3,Synthetic
7/30/2026 4:58:42,"Yes, I agree to participate.",Above 25,Female,Other,BDS,5th Year,3.5–4.0,1–2,71–80%,2,More than 6,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,2,4,1,1,2,5,4,2,4,4,3,2,3,Tuition fees and hostel expenses,Rarely,4,4,Synthetic
7/30/2026 6:23:06,"Yes, I agree to participate.",23-25,Female,Tribhuvan University,BIM,4th Year,3.5–4.0,3–4,60–70%,3,3-4,7–8,More than 6 hours,1–2 days/week,No,More than 8 hours,3,4,4,4,4,2,1,4,2,2,5,4,2,Frustration ,Rarely,4,4,Synthetic
7/30/2026 8:28:12,"Yes, I agree to participate.",20-22,Female,Kathmandu University,BSc Nursing,2nd Year,3.0–3.49,3–4,71–80%,2,More than 6,5–6,3–4 hours,3–4 days/week,No,6–8 hours,3,2,2,2,2,4,4,3,5,4,2,3,4,Multiple assignments ,Rarely,4,3,Synthetic
7/30/2026 8:42:58,"Yes, I agree to participate.",20-22,Male,Kathmandu University,BDS,3rd Year,3.0–3.49,3–4,60–70%,4,3-4,5–6,3–4 hours,3–4 days/week,No,3–5 hours,2,4,4,4,5,2,2,4,2,1,5,4,3,Assignment ,Often,2,4,Synthetic
7/30/2026 14:28:01,"Yes, I agree to participate.",Above 25,Female,Tribhuvan University,BSc CSIT,4th Year,3.5–4.0,3–4,71–80%,3,3-4,5–6,Less than 1 hour,3–4 days/week,Yes,3–5 hours,2,5,2,2,1,4,4,1,5,3,1,2,4,Multiple assignments ,Never,3,4,Synthetic
7/30/2026 20:32:48,"Yes, I agree to participate.",23-25,Male,Tribhuvan University,Law(LLB),5th Year,2.5–2.99,3–4,81–90%,3,1-2,7–8,3–4 hours,3–4 days/week,No,6–8 hours,4,4,5,5,4,3,2,5,2,2,4,5,1,Money,Very Often,5,2,Synthetic
7/31/2026 0:21:06,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BSc CSIT,2nd Year,2.0–2.49,1–2,71–80%,5,More than 6,Less than 5,5–6 hours,5–6 days/week,No,More than 8 hours,3,3,4,4,5,2,2,5,2,2,4,5,3,Assignment ,Very Often,4,1,Synthetic
7/31/2026 3:03:20,"Yes, I agree to participate.",20-22,Male,Tribhuvan University,BSc CSIT,3rd Year,2.0–2.49,1–2,Below 60%,5,3-4,5–6,1–2 hours,1–2 days/week,Yes,More than 8 hours,4,1,4,5,5,3,2,4,2,3,3,5,3,Assignments because multiple deadlines occur at the same time,Often,5,3,Synthetic
7/31/2026 4:16:16,"Yes, I agree to participate.",20-22,Male,Rajarshi Janak University,BCA,2nd Year,Below 2.0,1–2,Below 60%,5,1-2,5–6,1–2 hours,Never,Yes,3–5 hours,3,4,5,4,3,4,2,4,3,2,4,4,3,"Multiple assignments, future career",Often,4,2,Synthetic
