age,gender,university,program,year,cgpa,study_hours,attendance,assignment_stress,exam_count,sleep_hours,social_media,physical_activity,part_time_job,screen_time,financial_stress,social_support,stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,stress_q6,stress_q7,stress_q8,stress_q9,stress_q10,academic_life_satisfaction,biggest_stress_reason,thought_break,career_stress,academic_performance,stress_q4_rev,stress_q5_rev,stress_q7_rev,stress_q8_rev,stress_score,stress_level
23-25,Female,Agriculture and Forestry University,Agriculture,3rd Year,2.5–2.99,3–4,60–70%,5,3-4,Less than 5,5–6 hours,5–6 days/week,No,6–8 hours,3,3,4,5,5,3,1,3,3,2,3,4,3,Maybe,Very Often,3,1,3,5,3,4,39,High
Above 25,Female,Tribhuvan University,BBS,4th Year,3.0–3.49,Less than 1,Above 90%,4,3-4,Less than 5,3–4 hours,1–2 days/week,Yes,6–8 hours,3,1,4,5,3,3,2,4,2,2,4,4,3,Exams ,Very Often,4,3,3,4,4,4,39,High
23-25,Female,Tribhuvan University,MBBS,2nd Year,3.0–3.49,3–4,71–80%,5,More than 6,5–6,5–6 hours,3–4 days/week,No,More than 8 hours,4,3,3,5,3,4,3,4,1,1,4,4,2,Multiple assignments ,Rarely,2,3,2,3,5,5,38,High
20-22,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,1–2,60–70%,1,3-4,Less than 5,1–2 hours,3–4 days/week,No,6–8 hours,3,5,1,2,2,4,5,2,5,5,2,1,5,Balancing money and education,Never,4,4,2,1,1,1,15,Low
17-19,Female,Tribhuvan University,BSc CSIT,1st Year,3.5–4.0,3–4,81–90%,3,More than 6,5–6,3–4 hours,5–6 days/week,No,6–8 hours,1,3,2,3,3,4,3,2,4,4,2,2,3,Exams ,Rarely,5,5,2,3,2,2,23,Low
20-22,Female,Tribhuvan University,BCA,3rd Year,3.0–3.49,3–4,Below 60%,5,More than 6,Less than 5,3–4 hours,3–4 days/week,Yes,More than 8 hours,2,2,3,3,4,4,3,3,3,3,3,3,3,Deadlines,Sometimes,4,4,2,3,3,3,30,Moderate
17-19,Female,Tribhuvan University,BDS,1st Year,Not Available Yet,1–2,71–80%,3,5-6,7–8,Less than 1 hour,Never,No,Less than 3 hours,2,3,3,2,3,2,4,3,2,4,2,4,2,Not able to focus because of phone,Sometimes,3,3,4,2,4,2,29,Moderate
23-25,Prefer not to say,Other,MBBS,5th Year,3.0–3.49,3–4,60–70%,3,3-4,Less than 5,5–6 hours,5–6 days/week,Yes,More than 8 hours,4,3,4,5,4,2,4,4,1,2,4,3,1,Future career concerns because I am unsure about job opportunities,Often,5,3,4,2,5,4,39,High
20-22,Prefer not to say,Rajarshi Janak University,BBS,3rd Year,3.0–3.49,Less than 1,71–80%,2,3-4,More than 8,Less than 1 hour,3–4 days/week,No,3–5 hours,2,4,2,1,2,5,5,3,4,5,1,1,4,Balancing money and education,Sometimes,4,5,1,1,2,1,15,Low
20-22,Prefer not to say,Agriculture and Forestry University,Agriculture,4th Year,3.0–3.49,Less than 1,71–80%,3,3-4,Less than 5,3–4 hours,1–2 days/week,Yes,More than 8 hours,5,1,5,5,4,2,1,5,1,1,3,4,2,Semester project with weak team members,Often,5,3,4,5,5,5,45,High
20-22,Male,Kathmandu University,BDS,3rd Year,3.0–3.49,3–4,60–70%,3,3-4,5–6,3–4 hours,Never,No,More than 8 hours,4,3,3,3,3,2,3,3,4,3,3,4,2,Frustration ,Sometimes,2,4,4,3,2,3,31,Moderate
23-25,Male,Tribhuvan University,BCA,1st Year,3.5–4.0,More than 6 hours,81–90%,1,More than 6,7–8,Less than 1 hour,3–4 days/week,Yes,3–5 hours,4,4,1,1,2,5,4,1,4,4,1,2,5,Maybe,Rarely,4,5,1,2,2,2,15,Low
23-25,Male,Rajarshi Janak University,Agriculture,4th Year,2.5–2.99,1–2,71–80%,2,1-2,7–8,1–2 hours,1–2 days/week,No,3–5 hours,3,3,1,2,2,3,4,3,5,3,2,1,4,Final year project and internship,Never,5,3,3,2,1,3,20,Low
Above 25,Prefer not to say,Pokhara University,BSc Nursing,3rd Year,3.5–4.0,3–4,71–80%,2,3-4,5–6,3–4 hours,1–2 days/week,No,6–8 hours,2,4,1,1,1,5,4,1,4,5,1,1,3,Board exams,Never,2,5,1,2,2,1,12,Low
23-25,Prefer not to say,Agriculture and Forestry University,Agriculture,4th Year,3.5–4.0,1–2,81–90%,2,3-4,Less than 5,3–4 hours,Never,Yes,3–5 hours,3,4,3,2,4,4,4,1,3,4,4,2,3,Lack of practical classes and resources,Sometimes,4,4,2,2,3,2,25,Moderate
17-19,Male,Tribhuvan University,Agriculture,1st Year,Not Available Yet,5–6,71–80%,3,3-4,5–6,More than 6 hours,1–2 days/week,No,More than 8 hours,3,2,4,2,3,2,1,4,3,1,3,4,3,Ok,Often,4,3,4,5,3,5,37,High
20-22,Male,Tribhuvan University,BHM,2nd Year,3.5–4.0,1–2,Below 60%,2,1-2,5–6,1–2 hours,1–2 days/week,Yes,6–8 hours,5,3,3,4,3,2,4,3,5,3,3,3,3,Assignment ,Sometimes,3,4,4,2,1,3,29,Moderate
20-22,Female,Purbanchal University,BE/B.Tech,4th Year,3.5–4.0,1–2,71–80%,2,3-4,5–6,3–4 hours,1–2 days/week,Yes,More than 8 hours,4,4,2,2,3,3,3,2,3,2,3,2,3,Thesis and internship report,Rarely,3,4,3,3,3,4,27,Moderate
23-25,Female,Kathmandu University,MBBS,4th Year,3.5–4.0,3–4,Above 90%,1,More than 6,7–8,3–4 hours,3–4 days/week,No,More than 8 hours,1,3,2,2,2,5,5,2,5,5,1,2,4,Lack of discipline and too much screen time,Rarely,2,5,1,1,1,1,15,Low
Above 25,Male,Kathmandu University,MBBS,1st Year,3.0–3.49,Less than 1,71–80%,2,1-2,More than 8,3–4 hours,Never,No,6–8 hours,3,4,3,3,2,4,3,2,2,2,3,2,4,Multiple assignments ,Sometimes,2,3,2,3,4,4,28,Moderate
23-25,Female,Tribhuvan University,Agriculture,4th Year,2.0–2.49,3–4,71–80%,1,1-2,7–8,3–4 hours,5–6 days/week,Yes,6–8 hours,4,3,3,3,3,3,4,1,5,3,1,3,3,Family pressure,Rarely,4,4,3,2,1,3,23,Low
23-25,Female,Kathmandu University,BSc Nursing,4th Year,2.5–2.99,1–2,60–70%,1,3-4,5–6,5–6 hours,Never,No,6–8 hours,2,5,2,4,2,3,3,1,4,3,2,2,4,"Multiple assignments, career, jobs are very limited in nepal",Rarely,4,5,3,3,2,3,24,Low
20-22,Prefer not to say,Pokhara University,BE/B.Tech,3rd Year,2.5–2.99,Less than 1,81–90%,4,5-6,5–6,5–6 hours,1–2 days/week,Yes,6–8 hours,3,5,4,5,4,3,3,4,1,3,3,4,2,Parents compare me with relatives and toppers,Often,4,3,3,3,5,3,38,High
20-22,Male,Tribhuvan University,MBBS,1st Year,3.0–3.49,3–4,71–80%,2,More than 6,More than 8,1–2 hours,Never,No,More than 8 hours,2,5,3,2,4,2,4,3,3,4,3,2,5,Project submission deadlines clashing with exams,Often,3,4,4,2,3,2,28,Moderate
23-25,Female,Tribhuvan University,BCA,2nd Year,3.0–3.49,1–2,Above 90%,3,3-4,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,5,4,2,2,2,5,4,2,4,3,3,3,3,"TU exam pattern, everything depends on final exam",Rarely,4,5,1,2,2,3,22,Low
23-25,Male,Pokhara University,BCA,4th Year,3.0–3.49,5–6,81–90%,2,More than 6,5–6,5–6 hours,3–4 days/week,Yes,6–8 hours,3,3,2,2,2,4,4,1,4,4,2,2,4,Not able to focus because of phone,Rarely,2,4,2,2,2,2,19,Low
Above 25,Female,Agriculture and Forestry University,Agriculture,4th Year,3.5–4.0,3–4,81–90%,1,1-2,7–8,3–4 hours,1–2 days/week,Yes,3–5 hours,3,4,2,2,1,5,2,1,4,4,2,3,3,"Future career concerns because I am unsure about job opportunities, assignment",Sometimes,3,4,1,4,2,2,20,Low
17-19,Female,Other,BDS,2nd Year,3.0–3.49,3–4,81–90%,4,3-4,5–6,5–6 hours,Never,No,More than 8 hours,4,3,4,4,4,2,2,5,2,3,5,5,1,Pressure to go abroad after graduation,Often,5,4,4,4,4,3,42,High
17-19,Female,Tribhuvan University,BSc CSIT,3rd Year,3.5–4.0,3–4,81–90%,2,3-4,5–6,1–2 hours,1–2 days/week,Yes,3–5 hours,3,3,2,3,1,3,4,1,5,5,2,1,4,Not able to focus because of phone,Rarely,2,5,3,2,1,1,17,Low
23-25,Male,Purbanchal University,BCA,2nd Year,2.5–2.99,1–2,71–80%,2,More than 6,Less than 5,3–4 hours,1–2 days/week,Yes,6–8 hours,5,1,2,4,2,3,3,2,4,3,2,4,1,Internal assessments and assignments piling up together,Sometimes,5,3,3,3,2,3,27,Moderate
20-22,Female,Pokhara University,BHM,2nd Year,3.5–4.0,1–2,Above 90%,2,More than 6,5–6,1–2 hours,Never,Yes,More than 8 hours,2,1,5,4,2,1,3,4,2,5,3,3,3,Deadlines,Rarely,4,4,5,3,4,1,34,Moderate
23-25,Female,Kathmandu University,BSc Nursing,4th Year,2.5–2.99,1–2,60–70%,4,5-6,5–6,3–4 hours,1–2 days/week,No,More than 8 hours,5,3,4,5,4,1,2,5,2,2,5,3,2,Internal assessments and assignments piling up together,Sometimes,5,3,5,4,4,4,43,High
23-25,Female,Tribhuvan University,BSc CSIT,3rd Year,3.5–4.0,3–4,81–90%,3,3-4,5–6,3–4 hours,1–2 days/week,No,6–8 hours,3,2,2,3,2,4,3,3,3,3,2,2,3,Unsure about future after graduation,Rarely,3,4,2,3,3,3,25,Moderate
23-25,Female,Madhyapaschim University,BCA,4th Year,3.0–3.49,5–6,71–80%,4,3-4,Less than 5,5–6 hours,1–2 days/week,No,More than 8 hours,2,2,4,4,4,2,2,4,2,2,3,2,2,"Parents compare me with relatives and toppers, unsure about future after graduation",Sometimes,5,4,4,4,4,4,37,High
Above 25,Female,Tribhuvan University,BHM,3rd Year,3.0–3.49,3–4,71–80%,3,1-2,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,3,5,3,3,3,5,3,3,3,3,3,3,3,Future ,Rarely,1,5,1,3,3,3,28,Moderate
23-25,Female,Tribhuvan University,BSc Nursing,3rd Year,3.5–4.0,5–6,81–90%,2,5-6,7–8,3–4 hours,3–4 days/week,No,More than 8 hours,1,5,1,1,2,4,3,2,3,5,2,3,4,Study management,Rarely,3,4,2,3,3,1,20,Low
23-25,Female,Tribhuvan University,BCA,3rd Year,2.5–2.99,3–4,Below 60%,4,More than 6,5–6,5–6 hours,1–2 days/week,Yes,6–8 hours,4,2,4,3,3,2,2,3,4,3,3,5,3,Financial pressure ,Often,3,3,4,4,2,3,34,Moderate
17-19,Female,Kathmandu University,Law(LLB),1st Year,Not Available Yet,Less than 1,60–70%,3,1-2,7–8,3–4 hours,3–4 days/week,Yes,More than 8 hours,4,5,1,1,2,3,5,1,5,4,2,1,4,Time management,Rarely,2,4,3,1,1,2,15,Low
23-25,Female,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,3–4,60–70%,3,3-4,5–6,1–2 hours,1–2 days/week,Yes,Less than 3 hours,4,5,3,3,4,1,2,4,2,2,5,3,4,Unsure ,Often,5,2,5,4,4,4,39,High
17-19,Female,Kathmandu University,Law(LLB),1st Year,Not Available Yet,1–2,71–80%,4,5-6,7–8,5–6 hours,Never,No,More than 8 hours,4,1,5,5,4,3,2,5,1,1,5,5,1,Assignment ,Very Often,4,3,3,4,5,5,46,High
Above 25,Female,Kathmandu University,MBBS,5th Year,3.5–4.0,3–4,71–80%,3,More than 6,7–8,Less than 1 hour,5–6 days/week,No,6–8 hours,2,4,3,1,3,5,4,2,5,5,2,2,4,Ok,Never,5,4,1,2,1,1,18,Low
23-25,Male,Other,BDS,4th Year,3.0–3.49,3–4,81–90%,3,3-4,7–8,Less than 1 hour,Never,Yes,More than 8 hours,2,4,3,2,3,4,3,3,3,2,3,3,4,Yes,Sometimes,3,4,2,3,3,4,29,Moderate
20-22,Male,Sudurpaschim University,BCA,2nd Year,3.5–4.0,5–6,81–90%,2,5-6,7–8,3–4 hours,3–4 days/week,No,More than 8 hours,2,3,2,3,3,4,4,1,4,4,3,2,3,Tuition fees and hostel expenses,Rarely,2,5,2,2,2,2,22,Low
Above 25,Male,Tribhuvan University,BCA,2nd Year,2.5–2.99,Less than 1,81–90%,3,5-6,5–6,3–4 hours,1–2 days/week,No,6–8 hours,3,3,2,2,2,3,4,1,4,4,2,1,4,"Result delays and session delays in university, career",Sometimes,1,4,3,2,2,2,19,Low
17-19,Prefer not to say,Sudurpaschim University,BCA,1st Year,Not Available Yet,Less than 1,71–80%,1,3-4,7–8,Less than 1 hour,3–4 days/week,Yes,Less than 3 hours,3,3,2,2,2,4,5,2,3,5,1,1,5,Working part time and studying at the same time,Never,3,4,2,1,3,1,17,Low
23-25,Female,Tribhuvan University,Law(LLB),4th Year,2.5–2.99,1–2,71–80%,3,More than 6,7–8,3–4 hours,5–6 days/week,Yes,3–5 hours,2,4,3,2,2,3,3,3,4,2,2,1,3,Money,Sometimes,2,5,3,3,2,4,25,Moderate
17-19,Male,Tribhuvan University,BIM,1st Year,Not Available Yet,5–6,81–90%,3,1-2,5–6,1–2 hours,Never,No,3–5 hours,4,2,4,5,4,1,1,4,2,2,4,5,2,Internal assessments and assignments piling up together,Often,4,3,5,5,4,4,44,High
Above 25,Female,Kathmandu University,MBBS,5th Year,3.5–4.0,5–6,60–70%,3,More than 6,More than 8,Less than 1 hour,5–6 days/week,No,6–8 hours,3,2,3,3,3,4,4,3,4,2,4,2,2,Study management,Rarely,4,4,2,2,2,4,28,Moderate
20-22,Male,Purbanchal University,BCA,3rd Year,3.0–3.49,1–2,Above 90%,5,1-2,5–6,5–6 hours,Never,Yes,More than 8 hours,4,2,3,4,5,3,1,5,3,2,5,5,3,Study management,Often,4,2,3,5,3,4,42,High
23-25,Male,Tribhuvan University,Law(LLB),5th Year,3.0–3.49,Less than 1,81–90%,5,3-4,Less than 5,1–2 hours,Never,Yes,6–8 hours,5,1,4,4,4,1,2,5,3,2,5,5,3,Time management,Sometimes,4,3,5,4,3,4,43,High
20-22,Female,Pokhara University,BSc Nursing,2nd Year,3.0–3.49,Less than 1,Above 90%,3,3-4,5–6,1–2 hours,1–2 days/week,No,Less than 3 hours,1,3,2,3,3,4,3,3,3,2,3,3,4,Exams ,Rarely,2,4,2,3,3,4,29,Moderate
17-19,Female,Pokhara University,BCA,1st Year,Not Available Yet,1–2,71–80%,2,More than 6,Less than 5,3–4 hours,5–6 days/week,No,6–8 hours,2,3,2,1,2,4,3,2,4,3,3,2,3,Nothing much,Sometimes,2,4,2,3,2,3,22,Low
20-22,Male,Tribhuvan University,MBBS,2nd Year,3.5–4.0,3–4,71–80%,1,More than 6,More than 8,3–4 hours,1–2 days/week,No,More than 8 hours,2,4,1,2,1,5,5,1,5,4,1,2,5,Unsure ,Never,3,5,1,1,1,2,13,Low
23-25,Female,Other,MBBS,5th Year,3.5–4.0,3–4,71–80%,2,1-2,7–8,3–4 hours,3–4 days/week,Yes,6–8 hours,2,2,1,2,2,4,4,1,4,3,1,1,4,Too many assignments and lab reports with the same deadline,Rarely,2,5,2,2,2,3,17,Low
17-19,Male,Tribhuvan University,BCA,2nd Year,2.5–2.99,Less than 1,71–80%,5,More than 6,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,4,3,4,5,5,2,2,5,3,2,4,4,1,Ok,Very Often,3,3,4,4,3,4,42,High
23-25,Male,Tribhuvan University,BSc CSIT,3rd Year,3.0–3.49,Less than 1,60–70%,3,More than 6,Less than 5,Less than 1 hour,Never,No,3–5 hours,3,2,2,3,3,2,3,3,3,2,3,3,4,"Career, jobs are very limited in Nepal",Very Often,3,4,4,3,3,4,31,Moderate
20-22,Female,Tribhuvan University,Law(LLB),2nd Year,3.0–3.49,5–6,81–90%,4,5-6,Less than 5,5–6 hours,Never,Yes,6–8 hours,4,3,3,4,4,2,4,5,2,4,5,2,3,Family expectations to get good grades,Sometimes,3,4,4,2,4,2,35,Moderate
20-22,Female,Kathmandu University,Law(LLB),3rd Year,2.0–2.49,1–2,60–70%,4,5-6,5–6,5–6 hours,Never,Yes,6–8 hours,3,3,3,5,4,3,3,4,2,3,5,4,3,Balancing money and education,Often,3,3,3,3,4,3,38,High
20-22,Female,Kathmandu University,BSc Nursing,3rd Year,3.0–3.49,3–4,71–80%,2,5-6,Less than 5,1–2 hours,3–4 days/week,No,6–8 hours,2,4,2,2,2,4,4,3,3,4,3,2,5,Frequent internal exams and practicals,Rarely,2,5,2,2,3,2,23,Low
20-22,Female,Tribhuvan University,BBS,3rd Year,2.5–2.99,3–4,Below 60%,4,3-4,Less than 5,3–4 hours,5–6 days/week,Yes,More than 8 hours,4,2,3,3,3,2,3,3,3,3,4,3,3,"Exams, because the whole year's result depends on the final board exam",Never,3,2,4,3,3,3,32,Moderate
23-25,Female,Pokhara University,BHM,4th Year,3.0–3.49,5–6,81–90%,4,1-2,5–6,3–4 hours,3–4 days/week,Yes,More than 8 hours,5,3,3,3,3,3,2,3,4,3,3,3,2,"Balancing part-time job and classes, I don't get enough time to study",Sometimes,4,2,3,4,2,3,30,Moderate
17-19,Male,Tribhuvan University,BCA,1st Year,Not Available Yet,3–4,Above 90%,3,5-6,5–6,5–6 hours,1–2 days/week,Yes,More than 8 hours,4,3,5,5,4,2,1,5,2,2,5,4,1,Time management,Sometimes,3,1,4,5,4,4,45,High
23-25,Male,Tribhuvan University,BBS,3rd Year,3.0–3.49,5–6,71–80%,3,3-4,7–8,5–6 hours,3–4 days/week,Yes,More than 8 hours,3,2,3,3,5,2,2,5,2,2,2,3,2,Internal assessments and assignments piling up together,Often,3,2,4,4,4,4,37,High
20-22,Female,Kathmandu University,BE/B.Tech,2nd Year,3.5–4.0,1–2,60–70%,2,More than 6,Less than 5,3–4 hours,3–4 days/week,Yes,3–5 hours,4,3,2,2,2,3,3,2,2,4,2,3,4,Office hours clash with college time,Often,3,4,3,3,4,2,25,Moderate
23-25,Male,Tribhuvan University,BBS,4th Year,3.5–4.0,3–4,71–80%,3,3-4,7–8,5–6 hours,Never,Yes,More than 8 hours,2,4,4,3,2,3,3,2,3,4,2,5,3,Too many assignments and lab reports with the same deadline,Often,3,3,3,3,3,2,29,Moderate
20-22,Male,Tribhuvan University,MBBS,3rd Year,3.5–4.0,5–6,71–80%,3,More than 6,More than 8,1–2 hours,1–2 days/week,No,3–5 hours,2,4,2,2,2,5,5,2,3,4,2,2,3,Career,Rarely,3,5,1,1,3,2,19,Low
Above 25,Female,Kathmandu University,MBBS,4th Year,2.5–2.99,3–4,60–70%,4,5-6,More than 8,3–4 hours,1–2 days/week,No,3–5 hours,1,3,4,4,4,2,3,3,2,3,4,5,3,Exam routine keeps changing and results come very late,Rarely,4,2,4,3,4,3,38,High
20-22,Male,Agriculture and Forestry University,Agriculture,4th Year,2.5–2.99,Less than 1,60–70%,2,5-6,5–6,3–4 hours,3–4 days/week,Yes,More than 8 hours,3,5,2,1,1,5,4,3,4,5,3,1,5,Lack of practical classes and resources,Rarely,1,4,1,2,2,1,17,Low
17-19,Female,Pokhara University,BCA,1st Year,3.0–3.49,1–2,71–80%,3,5-6,Less than 5,1–2 hours,3–4 days/week,No,3–5 hours,2,4,3,3,3,1,3,4,3,3,3,4,3,Lack of discipline and too much screen time,Often,4,4,5,3,3,3,34,Moderate
20-22,Female,Kathmandu University,BSc Nursing,2nd Year,2.5–2.99,Less than 1,60–70%,3,3-4,5–6,5–6 hours,3–4 days/week,No,More than 8 hours,2,3,2,2,2,3,4,2,3,5,3,1,4,Internal assessments and assignments piling up together,Sometimes,3,3,3,2,3,1,21,Low
23-25,Female,Kathmandu University,BDS,4th Year,2.5–2.99,3–4,Below 60%,4,More than 6,7–8,3–4 hours,1–2 days/week,Yes,6–8 hours,4,3,4,3,3,2,2,4,3,3,3,3,2,Final year project and internship,Sometimes,4,3,4,4,3,3,34,Moderate
Above 25,Female,Other,BDS,5th Year,3.5–4.0,1–2,71–80%,2,More than 6,5–6,3–4 hours,3–4 days/week,Yes,6–8 hours,2,4,1,1,2,5,4,2,4,4,3,2,3,Tuition fees and hostel expenses,Rarely,4,4,1,2,2,2,18,Low
23-25,Female,Tribhuvan University,BIM,4th Year,3.5–4.0,3–4,60–70%,3,3-4,7–8,More than 6 hours,1–2 days/week,No,More than 8 hours,3,4,4,4,4,2,1,4,2,2,5,4,2,Frustration ,Rarely,4,4,4,5,4,4,42,High
20-22,Female,Kathmandu University,BSc Nursing,2nd Year,3.0–3.49,3–4,71–80%,2,More than 6,5–6,3–4 hours,3–4 days/week,No,6–8 hours,3,2,2,2,2,4,4,3,5,4,2,3,4,Multiple assignments ,Rarely,4,3,2,2,1,2,21,Low
20-22,Male,Kathmandu University,BDS,3rd Year,3.0–3.49,3–4,60–70%,4,3-4,5–6,3–4 hours,3–4 days/week,No,3–5 hours,2,4,4,4,5,2,2,4,2,1,5,4,3,Assignment ,Often,2,4,4,4,4,5,43,High
Above 25,Female,Tribhuvan University,BSc CSIT,4th Year,3.5–4.0,3–4,71–80%,3,3-4,5–6,Less than 1 hour,3–4 days/week,Yes,3–5 hours,2,5,2,2,1,4,4,1,5,3,1,2,4,Multiple assignments ,Never,3,4,2,2,1,3,17,Low
23-25,Male,Tribhuvan University,Law(LLB),5th Year,2.5–2.99,3–4,81–90%,3,1-2,7–8,3–4 hours,3–4 days/week,No,6–8 hours,4,4,5,5,4,3,2,5,2,2,4,5,1,Money,Very Often,5,2,3,4,4,4,43,High
20-22,Male,Tribhuvan University,BSc CSIT,2nd Year,2.0–2.49,1–2,71–80%,5,More than 6,Less than 5,5–6 hours,5–6 days/week,No,More than 8 hours,3,3,4,4,5,2,2,5,2,2,4,5,3,Assignment ,Very Often,4,1,4,4,4,4,43,High
20-22,Male,Tribhuvan University,BSc CSIT,3rd Year,2.0–2.49,1–2,Below 60%,5,3-4,5–6,1–2 hours,1–2 days/week,Yes,More than 8 hours,4,1,4,5,5,3,2,4,2,3,3,5,3,Assignments because multiple deadlines occur at the same time,Often,5,3,3,4,4,3,40,High
20-22,Male,Rajarshi Janak University,BCA,2nd Year,Below 2.0,1–2,Below 60%,5,1-2,5–6,1–2 hours,Never,Yes,3–5 hours,3,4,5,4,3,4,2,4,3,2,4,4,3,"Multiple assignments, future career",Often,4,2,2,4,3,4,37,High
20-22,Male,Purbanchal University,Agriculture,2nd Year,2.0–2.49,1–2,60–70%,4,1-2,5–6,3–4 hours,1–2 days/week,No,3–5 hours,2,2,3,3,2,3,3,3,3,2,4,5,3,Deadlines,Sometimes,3,3,3,3,3,4,33,Moderate
23-25,Female,Kathmandu University,MBBS,2nd Year,2.5–2.99,3–4,81–90%,3,3-4,Less than 5,1–2 hours,3–4 days/week,No,3–5 hours,3,2,3,3,3,3,2,2,3,5,2,2,5,"Tuition fees and hostel expenses, result delays and session delays in university",Sometimes,3,2,3,4,3,1,26,Moderate
23-25,Male,Other,BSc Nursing,2nd Year,3.5–4.0,3–4,81–90%,4,3-4,More than 8,1–2 hours,3–4 days/week,No,6–8 hours,3,3,3,3,3,3,2,4,3,3,3,3,3,Multiple assignments ,Rarely,3,3,3,4,3,3,32,Moderate
17-19,Male,Tribhuvan University,BSc CSIT,1st Year,3.5–4.0,1–2,81–90%,3,5-6,7–8,Less than 1 hour,3–4 days/week,Yes,3–5 hours,2,5,1,2,1,5,5,1,5,4,1,1,5,Board exams,Rarely,1,4,1,1,1,2,12,Low
17-19,Female,Tribhuvan University,BE/B.Tech,1st Year,Not Available Yet,5–6,71–80%,5,5-6,5–6,1–2 hours,3–4 days/week,No,6–8 hours,4,2,4,4,4,2,3,5,3,4,5,5,3,Exam routine keeps changing and results come very late,Sometimes,3,3,4,3,3,2,39,High
23-25,Female,Agriculture and Forestry University,Agriculture,4th Year,3.0–3.49,Less than 1,81–90%,2,3-4,7–8,5–6 hours,1–2 days/week,Yes,6–8 hours,2,4,2,2,1,3,4,2,4,4,2,1,3,Final year project and internship,Rarely,3,4,3,2,2,2,19,Low
Above 25,Female,Tribhuvan University,BE/B.Tech,3rd Year,3.5–4.0,Less than 1,71–80%,1,5-6,More than 8,1–2 hours,1–2 days/week,Yes,Less than 3 hours,1,4,2,2,1,5,4,2,5,4,1,2,5,Time management,Rarely,2,5,1,2,1,2,16,Low
20-22,Female,Tribhuvan University,BSc CSIT,2nd Year,3.5–4.0,1–2,71–80%,2,1-2,5–6,Less than 1 hour,5–6 days/week,No,3–5 hours,3,4,1,2,1,4,4,2,5,5,2,2,3,Money,Never,3,5,2,2,1,1,16,Low
20-22,Female,Tribhuvan University,BBS,3rd Year,2.0–2.49,Less than 1,71–80%,3,3-4,5–6,5–6 hours,1–2 days/week,No,More than 8 hours,3,5,3,3,2,3,2,2,4,4,3,4,3,Paying semester fees while living in Kathmandu is hard,Rarely,2,2,3,4,2,2,28,Moderate
23-25,Female,Tribhuvan University,MBBS,3rd Year,3.0–3.49,Less than 1,71–80%,4,1-2,7–8,5–6 hours,Never,Yes,3–5 hours,4,3,5,5,4,1,2,4,1,1,5,4,3,Future career concerns because I am unsure about job opportunities,Very Often,5,3,5,4,5,5,46,High
20-22,Male,Agriculture and Forestry University,Agriculture,2nd Year,3.0–3.49,3–4,71–80%,4,1-2,5–6,3–4 hours,3–4 days/week,Yes,More than 8 hours,4,2,4,3,4,2,2,2,1,3,3,2,3,Paying semester fees while living in Kathmandu is hard,Rarely,4,3,4,4,5,3,34,Moderate
Above 25,Prefer not to say,Pokhara University,BSc Nursing,4th Year,2.0–2.49,Less than 1,81–90%,4,More than 6,5–6,1–2 hours,1–2 days/week,No,3–5 hours,4,3,3,4,5,2,2,4,1,2,5,5,1,Frequent internal exams and practicals,Very Often,5,1,4,4,5,4,43,High
20-22,Male,Tribhuvan University,BHM,2nd Year,3.5–4.0,1–2,Above 90%,2,3-4,7–8,Less than 1 hour,Daily,Yes,3–5 hours,3,4,2,1,1,5,5,1,5,5,1,1,3,Deadlines,Never,1,5,1,1,1,1,11,Low
17-19,Female,Tribhuvan University,BIM,3rd Year,3.5–4.0,3–4,81–90%,3,1-2,7–8,3–4 hours,3–4 days/week,Yes,6–8 hours,3,4,4,2,3,3,3,2,4,4,3,3,3,Office hours clash with college time,Rarely,4,5,3,3,2,2,27,Moderate
Above 25,Male,Kathmandu University,Law(LLB),4th Year,3.0–3.49,Less than 1,Below 60%,2,1-2,Less than 5,3–4 hours,3–4 days/week,Yes,6–8 hours,3,2,4,4,3,3,3,4,2,4,4,3,2,Not able to focus because of phone,Rarely,5,3,3,3,4,2,34,Moderate
17-19,Female,Tribhuvan University,BSc CSIT,1st Year,3.5–4.0,3–4,71–80%,2,5-6,7–8,3–4 hours,1–2 days/week,Yes,More than 8 hours,3,5,1,1,1,5,4,2,3,5,1,2,4,Unsure ,Never,4,4,1,2,3,1,15,Low
23-25,Male,Rajarshi Janak University,BBS,4th Year,3.5–4.0,1–2,81–90%,1,More than 6,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,2,4,2,3,3,3,3,3,4,3,2,1,3,Deadlines,Sometimes,3,5,3,3,2,3,25,Moderate
23-25,Male,Tribhuvan University,BCA,4th Year,3.0–3.49,Less than 1,60–70%,2,5-6,5–6,5–6 hours,Never,Yes,6–8 hours,3,4,2,2,2,4,3,1,5,5,3,1,4,"Career, jobs are very limited in Nepal",Never,4,3,2,3,1,1,18,Low
20-22,Male,Tribhuvan University,BHM,3rd Year,2.0–2.49,Less than 1,60–70%,4,1-2,Less than 5,5–6 hours,Never,Yes,6–8 hours,5,4,4,5,4,2,2,5,1,1,5,5,2,Financial pressure because my family struggles to pay tuition,Often,3,1,4,4,5,5,46,High
